33226224_494.cml_Service_messages_0	Service messages	"Service messages."
34066245_107.cml_Manually_close_convertible_top_0	Manually close convertible top	"Information

 If there is a malfunction, the convertible top can be manually closed. Two persons are necessary to do this.
Do not manually open convertible top and close it manually only in emergency situations"
34066245_107.cml_Manually_close_convertible_top_1	Manually close convertible top	"Before closing

 1. Lower the windows completely.
2. Switching off the ignition.
3. Remove hexagonal wrench, Torx wrench, and screwdriver from the onboard vehicle tool kit."
34066245_107.cml_Manually_close_convertible_top_2	Manually close convertible top	"Unlocking the convertible top

 1. Loosen and remove screw, arrow, using the hexagonal wrench.
2. Slide the cover in driving direction, arrow 1, and pull it outward, arrow 2. Next, turn upward in driving direction, arrow 3.
If have difficulties removing the cover, perform step 3 first.
3. Pull sensor from the cover, arrow, and place it on the side trim.
4. Loosen and remove the second screw, arrow, using the hexagonal wrench.
5. Slightly lift the side frame, arrow 1, and pull sensor with cable forward out from the guide, arrow 2.
Swivel the cable out sidewards so it cannot be jammed.
6. Loosen and remove two screws, arrow, using the Torx wrench.
7. Unlock the second side frame. The sensor is located on the left side of the vehicle."
34066245_107.cml_Manually_close_convertible_top_3	Manually close convertible top	"Closing the convertible top

 1. Grasp the convertible top with two people, with both hands on the two side frames.
2. Lift out on both sides and swivel forward onto the windshield panel.
3. In the vehicle, lift the cover in the center of the roof using the screwdriver.
4. For this purpose, insert the hexagon wrench into the designated receptacle in the center of the roof and press push upward, arrow 1.
Turn the hexagon wrench counterclockwise to open the side frame lock.
5. Pull of the locking elements from the pins on the left and right side of the side frames, arrow.
6. Insert the pins on the side frames into the receptacles on the windshield frame.
7. Turn the hexagon wrench clockwise to close the side frame lock.
8. Continue turning the hexagon wrench clockwise to close the sliding sun roof."
34066777_234.cml_Actions_in_the_event_of_a_flat_tire_0	Actions in the event of a flat tire	"Normal tires

 1. Identify the damaged tire.
Check the air pressure in all four tires, e.g. using the tire pressure gage of a tire repair kit.
If the tire inflation pressure in all four tires is correct, the Flat Tire Monitor may not have been initialized. In this case, initialize the system.
If identification of flat tire damage is not possible, please contact a dealer's service center or another qualified service center or repair shop.
2. Repair the flat tire, e.g. with a tire repair kit or by changing the tire."
34066777_234.cml_Actions_in_the_event_of_a_flat_tire_1	Actions in the event of a flat tire	"Run-flat tires

 Maximum speed

 You may continue driving with a damaged tire at speeds up to 80 km/h 80 km/h, 50 mph 50 mph/80 km/h .
Continued driving with a flat tire

 If continuing to drive with a damaged tire:
1. Avoid sudden braking and steering maneuvers.
2. Do not exceed a speed of 80 km/h 80 km/h, 50 mph 50 mph/80 km/h .
3. Check the air pressure in all four tires at the next opportunity.
If the tire inflation pressure in all four tires is correct, the Flat Tire Monitor may not have been initialized. In this case, initialize the system.Possible driving distance with complete loss of tire inflation pressure:
The possible driving distance after a loss of tire inflation pressure depends on cargo load, driving style and road conditions.
A vehicle with an average load has a possible driving range of approx. 80 km 80 km, 50 miles 50 miles/80 km .
A vehicle with a damaged tire reacts differently, e.g., it has reduced lane stability during braking, a longer braking distance and different self-steering properties. Adjust your driving style accordingly. Avoid abrupt steering maneuvers or driving over obstacles, e.g., curbs, potholes, etc.
Because the possible driving distance depends on how the vehicle is used during the trip, the actual distance may be shorter or longer depending on the driving speed, road conditions, external temperature, cargo load, etc.
Continued driving with a flat tire
Continued driving with a flat tire and trailer Final tire failure

 Vibrations or loud noises while driving can indicate the final failure of a tire.
Reduce your speed and stop. Parts of tires can peel away, which could cause an accident. Do not continue driving; instead contact a dealer's service center or another qualified service center or repair shop. Reduce speed and stop; otherwise, pieces of the tire could come loose and cause an accident. Do not continue driving. Contact a dealer's service center or another qualified service center or repair shop."
34066925_146.cml_Parking_brake_0	Parking brake	"Information

 Apply parking brake and further secure the vehicle if needed"
34066925_146.cml_Parking_brake_1	Parking brake	"Applying

 The lever automatically engages after being pulled up.
  The indicator lamp lights up red. The parking brake is set.
If for once use during driving is required, engage the parking brake slightly and hold the button down.
To prevent corrosion and one-sided brake action, lightly apply the parking brake periodically while coasting, if traffic conditions permit.
The brake lights will not light up if the parking brake is set."
34066925_146.cml_Parking_brake_2	Parking brake	"Releasing

   Raise lever slightly, press the button and guide the lever down."
34067048_551.cml_Hazard_warning_flashers_0	Hazard warning flashers	"The button is located above the radio. The button is located above the Control Display."
34067226_633.cml_Closing_the_hood_0	Closing the hood	"Let the hood fall from approx. 40 cm 40 cm, approx. 16 in 16 inches/40 cm  height, arrow.
The hood must audibly engage on both sides.
Danger of jamming
Make sure that the closing path of the hood is clear; otherwise, injuries may result."
34067243_569.cml_Tow_fitting_0	Tow fitting	"General information

 The screw-in tow fitting should always be carried in the vehicle.
The tow fitting can be screwed in at the front or rear of the vehicle.
The tow fitting and the onboard vehicle tool kit are together in the cargo area."
34067243_569.cml_Tow_fitting_1	Tow fitting	"Information

 Tow fitting, information on use
Use of the tow fitting:
- Use only the tow fitting provided with the vehicle and screw it all the way in.
- Use the tow fitting for towing on paved roads only.
- Use tow fitting located in the front only for positioning the vehicle.
- Avoid lateral loading of the tow fitting, for example, do not lift the vehicle by the tow fitting."
34067282_179.cml_External_temperature_0	External temperature	"If the indicator drops to +3 °C +3 °C/+37 °F +37 °F/+3 °C , a signal sounds.
A Check Control message is displayed.
There is an increased risk of ice on roads.
Ice on roads"
34067300_18.cml_Adjusting_the_head_restraint_0	Adjusting the head restraint	"Height

 - To raise: pull.
- To lower: press button, arrow 1, and push headrest down."
34067320_545.cml_Tail_lamps,_bulb_replacement_0	Tail lamps, bulb replacement	"Overview

 Position of tail lamps
Side tail lamps Overview

 Position of tail lamps
Tail lamps in split doors
Tail lamps in bumpers
Tail lamps in bumpers

 In addition, the tail lamps in the bumper assume the functions of tail lamp and turn signals, if the split doors are open. Side tail lamps

 Follow the general instructions on lights and bulbs.
Bulbs: P21W
1. Open tailgate.
2. Open tailgate.
3. Remove left or right cover.
4. Through the opening, loosen the plug connector, arrow 2 on the bulb holder.
Press the latches together, arrows 1, and remove the bulb holder.
5. Remove the bulb holder from the opening.
6. Press the nonworking bulb gently into the socket, turn counterclockwise and remove.
- Arrow 1: brake lights/tail lamps
- Arrow 2: turn signal
- Arrow 3: reversing light
7. Proceed in the reverse order to insert the new bulb and attach the bulb holder. Make sure that the bulb holder engages in all fasteners. Tail lamps in split doors

 Follow the general instructions on lights and bulbs.
Turn signals Turn signals/tail lamps 

 Bulbs: P21W Bulbs: P21W/W5W 1. Opening split doors.
2. Remove left or right cover. If necessary, it is then possible to pry the cover off using a screwdriver or a similar plastic tool.
3. Press the latches together upward, arrow 1, and remove the bulb holder.
Loosen the plug connector, arrow 2, on the bulb holder.
4. Remove the bulb holder from the opening.
5. Press the nonworking bulb gently into the socket, turn counterclockwise and remove.
- Arrow 1: turn signal
- Arrow 2: tail lamp
6. Proceed in the reverse order to insert the new bulb and attach the bulb holder. Make sure that the bulb holder engages in all fasteners.Rear fog lights/reversing lights Rear fog lights/reversing lights/tail lamps 

 Bulbs: P21W Bulbs: P21W/W5W 1. Opening split doors.
2. Remove left or right cover.
3. Press the latches together in the direction of the arrow, arrow 1, and remove the bulb holder.
Loosen the plug connector, arrow 2, on the bulb holder.
4. Remove the bulb holder from the opening.
5. Press the nonworking bulb gently into the socket, turn counterclockwise and remove.
- Arrow 1: tail lamp
- Arrow 2: rear fog lamps
- Arrow 3: reversing light
6. Proceed in the reverse order to insert the new bulb and attach the bulb holder. Make sure that the bulb holder engages in all fasteners. Tail lamps in bumpers

 Follow the general instructions on lights and bulbs.
Brake lights/turn signals

 Bulbs: P21W
1. Press out cover below the tail lamp.
2. Remove the screwdriver from the onboard vehicle tool kit.
3. Pull the screwdriver blade from the handle and place it on the recessed-head screw head in the bumper.
4. Attach the screw driver handle with the slot to the blade, arrow 1.
5. Loosen screw in the bumper, arrow 2.
6. Pull tail lamp from the bumper.
7. Turn the bulb holder counter-clockwise and remove nonworking bulb.
8. To insert the new bulb and install the tail lamp, proceed in reverse order of removal. Make sure that the bulb holder sits tight in the tail lamp."
34067320_545.cml_Tail_lamps,_bulb_replacement_1	Tail lamps, bulb replacement	"Central brake lamp and license plate lamp

 Follow the general instructions on lights and bulbs.
The lights feature LED technology. In the case of a malfunction, contact a dealer's service center or another qualified service center or repair shop."
34067320_545.cml_Tail_lamps,_bulb_replacement_2	Tail lamps, bulb replacement	"Rear fog lamp

 Follow the general instructions on lights and bulbs.
Bulbs: W16W
1. Loosen 3 screws, arrow.
2. Push the heat shield forward and the bumper back in order to be able to reach the rear fog lamp.
3. Turn the bulb socket counterclockwise and remove.
The wire is long enough to guide the socket down and through between heat shield and bumper.
4. Replace nonworking bulb.
5. To install the new bulb, proceed in reverse order of removal. Rear fog lights

 Follow the general instructions on lights and bulbs.
Bulbs: P16W
Left rear fog lamp:
1. Loosen 4 screws, arrow.
2. Push the heat shield forward and the bumper back in order to be able to reach the fog lamp.
3. Turn the bulb socket counterclockwise and remove.
The wire is long enough to guide the socket down and through between heat shield and bumper.
4. Replace nonworking bulb.
5. To install the new bulb, proceed in reverse order of removal.Right fog lamp:
1. On vehicles with underbody paneling:
Loosen 3 screws, arrow.
Push the underbody paneling forward and the bumper back in order to be able to reach the fog lamp.
2. Turn the bulb socket counterclockwise and remove.
The wire is long enough to guide the socket down and through between underbody paneling and bumper.
3. Replace nonworking bulb.
4. To install the new bulb, proceed in reverse order of removal."
34067457_43.cml_Radio_0	Radio	"Radio

 Traffic bulletins, on/off Change entertainment sources Volume, on/off Change station/track Programmable memory buttons Radio

 Change waveband Change entertainment sources Volume, on/off Change station/track Programmable memory buttons"
34067471_238.cml_General_information_0	General information	"The system warns at two levels of an imminent danger of collision at speeds from approx. 5 km/h 5 km/h, approx. 3 mph 3 mph/5 km/h . Time of warnings may vary with the current driving situation.
Appropriate braking kicks in at speeds of up to 60 km/h 60 km/h, approx. 35 mph 35 mph/60 km/h ."
34067471_238.cml_General_information_1	General information	"Detection range

 It responds to objects if they are detected by the system."
34067643_123.cml_Entering_the_rear_0	Entering the rear	"Information

 Keep the movement area unobstructed
Folding back the backrest"
34067643_123.cml_Entering_the_rear_1	Entering the rear	"Fold down seat back

 1. Pull lever up to the stop.
2. Fold backrest forward.
3. Push the seat forward. Original position

 The driver's seat features a mechanical memory function for forward/back and backrest adjustment.
1. Push the seat back into the original position.
2. Fold back the backrest to lock the seat.If the backrest is folded back when the seat is not yet in the original position, the seat latches in the current position. In this case, manually adjust longitudinal direction."
34067963_96.cml_Using_the_remote_control_0	Using the remote control	"Information

 Take the remote control with you"
34067963_96.cml_Using_the_remote_control_1	Using the remote control	"Unlocking

 Press button on the remote control.
- The vehicle is unlocked.
- The interior lights are switched on, when it is dark outside, the courtesy lamps are also switched on. The interior lights are switched on, when it is dark outside, the courtesy lamps and the MINI logo projection are also switched on. These functions are not available if the interior lamps were switched off manually.
- The welcome lamps are switched on, if this function was activated.
- Exterior mirrors folded through convenient closing are folded open.Press button on the remote control twice in direct succession to activate comfort entry.
When the door is opened, the window is lowered more to make it easier to enter the vehicle. You can set how the vehicle is to be unlocked. Create the settings.
Anti-theft protection is switched off. The alarm system is switched off."
34067963_96.cml_Using_the_remote_control_2	Using the remote control	"Convenient opening

 Press and hold this button on the remote control after unlocking.
The windows and the glass sunroof are opened, as long as the button on the remote control is pressed. The windows are opened, as long as the button on the remote control is pressed. For safety reasons, the opening motion is stopped after approx. 10 seconds. Press button again if the opening motion is not yet finished. Convenient opening

 Danger of jamming
Press and hold this button on the remote control after unlocking.
The windows and the sliding sun roof integrated into the convertible top are opened, as long as the button on the remote control is pressed.
With Comfort Access, the remote control can be used to open the convertible top when in the vicinity of the vehicle. Press the remote control button again after the sliding sun roof integrated into the convertible top is fully opened. Press and hold the button until the convertible top is fully opened and locked. Leaving the vicinity of the vehicle stops the motion. For safety reasons, the opening motion is stopped after approx. 10 seconds. Press button again if the opening motion is not yet finished."
34067963_96.cml_Using_the_remote_control_3	Using the remote control	"Locking

 Locking from the outside
The driver's door must be closed.
Press button on the remote control.
Anti-theft protection is switched on. It prevents the doors from being unlocked using the lock buttons or the door opener. The alarm system is switched on. If the vehicle horn honks twice when you lock the car, this means that the engine or ignition is still switched on. In this case, the engine or ignition must be switched off by means of the Start/Stop button."
34067963_96.cml_Using_the_remote_control_4	Using the remote control	"Convenient closing

 Monitor closing
Press and hold this button on the remote control after locking.
The windows and the glass sunroof are closed, as long as the button on the remote control is pressed. The windows are closed, as long as the button on the remote control is pressed. The exterior mirrors are folded in. For safety reasons, the closing motion is stopped after approx. 10 seconds. Press button again if the closing motion is not yet finished. Convenient closing

 Monitor closing
Press and hold the button on the remote control in the area close to the vehicle, until the closing operation is completed.
The windows and convertible top close.
The exterior mirrors are folded in. Releasing the button stops the closing procedure. Leaving the vicinity of the vehicle stops the motion of the convertible top.
Press button in the vicinity of the vehicle again until the convertible top operation is completed.
For safety reasons, the closing motion is stopped after approx. 10 seconds. Press button again if the closing motion is not yet finished."
34067963_96.cml_Using_the_remote_control_5	Using the remote control	"Switching on interior lights and courtesy lights

 Press button on the remote control with the vehicle locked.
The interior lights are switched on, when it is dark outside, the courtesy lamps are also switched on. The interior lights are switched on, when it is dark outside, the courtesy lamps and the MINI logo projection are also switched on. These functions are not available if the interior lamps were switched off manually.
If the button is pressed within 10 seconds of when the vehicle was locked Interior motion sensor and tilt alarm sensor of the anti-theft warning system are turned off. After locking, wait 10 seconds before pressing the button again."
34067963_96.cml_Using_the_remote_control_6	Using the remote control	"Panic mode

 You can trigger the alarm system if you find yourself in a dangerous situation.
Press button on the remote control for at least 3 seconds.
To switch off the alarm: press any button."
34067963_96.cml_Using_the_remote_control_7	Using the remote control	"Unlocking the tailgate Unlocking the tailgate Opening split doors 

 When the split doors are opened, make sure there is sufficient clearance to prevent damage. Press button on the remote control for approx. 1 second. The tailgate opens slightly, regardless of whether the vehicle was previously locked or unlocked. The tailgate opens slightly, regardless of whether the vehicle was previously locked or unlocked. 1. Press button on the remote control for approx. 1 second.
The right side of the split doors opens, regardless of whether the vehicle is locked or unlocked.
2. Press button on the remote control again for approx. 1 second.
The left side of the split doors opens. To avoid locking it into the vehicle, do not place the remote control in the cargo area.
Depending on the features and the country version, it is also possible to have door unlocked. Create the settings.
With some equipment packages the doors are also always unlocked. If the doors were not unlocked, the trunk lid is locked again as soon as it closes. If the doors were not unlocked, the tailgate is locked again as soon as it closes. If the doors were not unlocked, the split doors are locked again as soon as they close. Provide edge protection"
34067963_96.cml_Using_the_remote_control_8	Using the remote control	"Malfunction

 Remote control detection by the vehicle can among others be malfunctioning under the following circumstances:
- The battery of the remote control is discharged. Replace the battery.
- Interference of the radio connection from transmission towers or other equipment with high transmit power.
- Shielding of the remote control due to metal objects.
- Interference of the radio connection from mobile phones or other electronic devices in direct proximity.Do not transport the remote control together with metal objects or electronic devices.
In the case of a malfunction, unlock and lock the vehicle using the integrated key.
For US owners only

 The transmitter and receiver units comply with part 15 of the FCC/Federal Communication Commission regulations. Operation is governed by the following:
FCC ID:
- LX8766S.
- LX8766E.
- LX8CAS.
- LX8CAS2.
- MYTCAS4.Compliance statement:
This device complies with part 15 of the FCC Rules. Operation is subject to the following two conditions:
- This device may not cause harmful interference, and
- this device must accept any interference received, including interference that may cause undesired operation.Any unauthorized modifications or changes to these devices could void the user's authority to operate this equipment."
34068942_539.cml_Maintenance_0	Maintenance	"MINI maintenance system

 The maintenance system indicates required maintenance measures, and thereby provides support in maintaining road safety and the operational reliability of the vehicle.
In some cases scopes and intervals may vary according to the country-specific version. Replacement work, spare parts, fuels and lubricants and wear materials are calculated separately. Further information is available from a dealer's service center or another qualified service center or repair shop."
34068942_539.cml_Maintenance_1	Maintenance	"Condition Based Service CBS

 Sensors and special algorithms take into account the driving conditions of the vehicle. Based on this, Condition Based Service recognizes the maintenance requirements.
The system makes it possible to adapt the amount of maintenance corresponding to your user profile.
Information on service requirements can be displayed on the radio. Information on service requirements can be displayed on the Control Display. Service data in the remote control

 Information on the required maintenance is continuously stored in the remote control. The dealer's service center can read this data out and suggest an optimized maintenance scope for the vehicle.
Therefore, hand the service advisor the remote control with which the vehicle was driven most recently.
Storage periods

 Storage periods during which the vehicle battery was disconnected are not taken into account.
If this occurs, have a dealer's service center or another qualified service center or repair shop update the time-dependent maintenance procedures, such as checking brake fluid and, if necessary, changing the engine oil and the microfilter/activated-charcoal filter."
34068942_539.cml_Maintenance_2	Maintenance	"Service booklet

 Have service work performed by a dealer's service center or another qualified service center or repair shop and confirmed in the maintenance record. Records of regular maintenance and repair work should be retained. Service history

 Have maintenance and repair performed by a dealer's service center or another qualified service center or repair shop.
Performed maintenance work is entered by into the maintenance record and into the vehicle data. The entries are like a service booklet of the documentation of regular maintenance.
If an entry is made into the electronic service history of the vehicle, service-relevant data is not only stored in the vehicle, but also in the central IT systems of BMW AG, Munich.
Data entered into the electronic service history can also be reviewed by the new vehicle owner after a change in vehicle ownership. Furthermore, all dealer's service centers and other authorized service centers or repair shops can review the data entered into the electronic service history.
The vehicle owner can contact a dealer's service center or another qualified service center or repair shop and object to the entry in the electronic service history and the related data storage in the vehicle and data transmission to the vehicle manufacturer with respect to the time during which he owned the vehicle. In this case, nothing is entered into the electronic service history of the vehicle.
Displaying entered maintenance work on the Control Display. Displaying entered maintenance work on the radio. include text 85

 include text 86
include text M87
include text 88 Maintenance

 Your vehicle needs only routine maintenance in order to maintain its exhaust emissions to the level specified. Service and Warranty Information Booklet for US models and Warranty and Service Guide Booklet for Canadian models

 Please consult your Service and Warranty Information Booklet for US models and Warranty and Service Guide Booklet for Canadian models for additional information on service requirements.
The manufacturer of your vehicle recommends that maintenance and repair be performed by a dealer's service center or another qualified service center or repair shop. Records of regular maintenance and repair work should be retained. Socket for OBD Onboard Diagnosis

 Information

 Socket for Onboard Diagnosis
Position

 There is an OBD socket on the driver's side for checking the primary components in the vehicle's emissions.
Emissions

 - The warning lamp flashes:
Engine damage that can damage the catalytic converter. Have the vehicle checked immediately.
- The warning lamp lights up:
Emissions are deteriorating. Have the vehicle checked as soon as possible. - The warning lamp lights up:
Emissions are deteriorating. Have the vehicle checked as soon as possible.
- The warning lamp flashes under certain circumstances:
This indicates that there is excessive misfiring in the engine.
Reduce the vehicle speed and have the system checked immediately; otherwise, serious engine misfiring within a brief period can seriously damage emission control components, in particular the catalytic converter. include text 220

 - include text 221
include text 222
- include text 223
include text 224 Recycling

 The manufacturer of your vehicle recommends giving the vehicle at the end of its useful life to one of the recycling centers recommended by the manufacturer. Collection of the vehicle is subject to the applicable national regulations. Further information is available from a dealer's service center or another qualified service center or repair shop. include text M89 include text 90"
34069452_228.cml_The_concept_0	The concept	"The system monitors tire inflation pressure in the four mounted tires. The system warns you if there is a significant loss of pressure in one or more tires. For this purpose, sensors in the tire valves measure the tire inflation pressure."
34069483_34.cml_Parking_brake_0	Parking brake	"Applying

 The lever automatically engages after being pulled up. Releasing

   Raise lever slightly, press the button and guide the lever down. Setting

 Pull the switch.
The LED and indicator lamp light up. Releasing

 Press the switch while the brake or clutch is pressed. Press the switch while stepping on the brake pedal or selector lever position P is set. The LED and indicator lamp go out.
The parking brake is released."
34069519_218.cml_Fog_lights_0	Fog lights	"Overview

 Light switch element"
34069519_218.cml_Fog_lights_1	Fog lights	"Front fog lights

 The parking lights or low beams must be switched on. The low beams must be switched on. Press button. The green indicator lamp lights up.
If the automatic headlight control is activated, the low beams will come on automatically when you switch on the front fog lights. When the high beams or headlight flasher are activated, the front fog lights are not switched on. Rear fog lights

 The low beams or front fog lights must be switched on.
Press button. The yellow indicator lamp lights up.
If the automatic headlight control is activated, the low beams will come on automatically when you switch on the rear fog lights. Switch on when visibility is poor"
34069594_140.cml_Locking_the_doors_and_windows_0	Locking the doors and windows	"Doors

 Push the locking lever on the rear doors up.
The door can now be opened from the outside only."
34069594_140.cml_Locking_the_doors_and_windows_1	Locking the doors and windows	"Safety switch for the rear

 Press button on the driver's door if children are being transported in the rear.
This locks various functions so that they cannot be operated from the rear: safety switch."
34069619_641.cml_Setting_the_tire_inflation_pressure_and_resetting_the_Tire_Pressure_Monitor_TPM_0	Setting the tire inflation pressure and resetting the Tire Pressure Monitor TPM	"Checking the pressure

 Tires have a natural, consistent loss of tire inflation pressure.
Check the tire inflation pressure regularly
Regularly check the tire inflation pressure and correct it as needed: at least twice a month and before a long trip. If you fail to observe this precaution, you may be driving on tires with incorrect tire pressures, a condition that may not only compromise your vehicle's driving stability, but also lead to tire damage and the risk of an accident.
Tires heat up while driving, and the tire inflation pressure increases along with the tire's temperature. The tire inflation pressure specifications relate to cold tires or tires with the ambient temperature.
Therefore, only check the tire inflation pressure when the tires are cold. Only check the tire inflation pressure when the tires are cold. This means after driving no more than 1.25 miles/2 km or when the vehicle has been parked for at least 2 hours. When the tires are warm, the tire inflation pressure is higher. Only check the tire inflation pressure when the tires are cold. This means after driving no more than 2 km/1.25 miles 1.25 miles/2 km  or when the vehicle has been parked for at least 2 hours. When the tires are warm, the tire inflation pressure is higher.
After correcting the tire inflation pressure, reset the Tire Pressure Monitor."
34069619_641.cml_Setting_the_tire_inflation_pressure_and_resetting_the_Tire_Pressure_Monitor_TPM_1	Setting the tire inflation pressure and resetting the Tire Pressure Monitor TPM	"Resetting the system

 Reset the system after each correction of the tire inflation pressure and after every tire or wheel change.
On the Control Display:
1.  Vehicle info 
2.  Vehicle status 
3.  Tire Pressure Monitor (TPM) 
4.  Perform reset 
5. Start the engine - do not drive off.
6.  Perform reset 
7. Drive away.The tires are shown in gray and  Resetting Tire Pressure Monitor (TPM)…  is displayed.
After driving for a few minutes, the set tire inflation pressures are applied as set values. The resetting process is completed automatically while driving. The tires are shown in green and  Tire Pressure Monitor (TPM) active  is shown on the Control Display.
You may interrupt this trip at any time. When you drive off again, the process resumes automatically.
If a flat tire is detected during a reset, all tires are displayed in yellow."
34069995_79.cml_The_concept_0	The concept	"The onboard monitor combines the functions of a multitude of switches. Thus, these functions can be operated from a central location.
Using the onboard monitor during a trip"
34073161_3.cml_Using_the_programmable_memory_buttons_0	Using the programmable memory buttons	"General information

 The Owner's Manual can be stored on the programmable memory buttons and called up directly."
34073161_3.cml_Using_the_programmable_memory_buttons_1	Using the programmable memory buttons	"Storing

 1. Select  Owner's Manual  via the onboard monitor.
2. Press desired button and hold for more than 2 seconds."
34073161_3.cml_Using_the_programmable_memory_buttons_2	Using the programmable memory buttons	"Executing

 Press button.
The Owner's Manual is displayed immediately."
34073188_214.cml_Daytime_running_lights_0	Daytime running lights	"General information

 Position of switch:, The daytime running lights light up when the ignition is switched on. Position of switch:,, The daytime running lights light up when the ignition is switched on. After the ignition is switched off, the parking lights light up in position."
34073188_214.cml_Daytime_running_lights_1	Daytime running lights	"Activating/deactivating

 In some countries, daytime running lights are mandatory, so it may not be possible to deactivate the daytime running lights.
On the Control Display:
1.  Settings 
2.  Lighting 
3.  Daytime running lamps Settings are stored for the remote control currently used. Activating/deactivating

 In some countries, daytime running lights are mandatory, so it may not be possible to deactivate the daytime running lights.
Set via radio.
1. Press button.
2.  Settings 
3.  Lighting 
4.  Daytime running lamps Settings are stored for the profile currently used."
34073339_653.cml_Calibrating_the_front_seats_0	Calibrating the front seats	"1. Move the respective seat all the way forward.
2. Move the respective seat forward again. It moves forward briefly.
3. Readjust the seat to the desired position.The calibration procedure is completed when the message on the Control Display disappears. 
If the message continues to be displayed, repeat the calibration. 
If the message does not disappear after a repeat calibration, have the system checked as soon as possible.
Unobstructed area of movement
Ensure that the area of movement of the seats is unobstructed to avoid personal injury or damage to objects."
34073391_649.cml_Ignition_on_0	Ignition on	"Press the Start/Stop button to switch the ignition on and off. 
Do not depress the brake while doing so.
If the brakes are stepped on, the engine starts when you press the Start/Stop button.
All vehicle systems are ready for operation.
Most of the indicator and warning lights in the instrument cluster light up for a varied length of time."
34073408_642.cml_Setting_the_date_and_time_0	Setting the date and time	"Date

 1.  Settings 
2.  Time/Date 
3.  Date: 
4. Turn the controller until the desired day is displayed.
5. Press the controller.
6. Make the necessary settings for the month and year.The date is stored."
34073408_642.cml_Setting_the_date_and_time_1	Setting the date and time	"Date format

 1.  Settings 
2.  Time/Date 
3.  Format: 
4. Select the desired format.The date format is stored."
34073408_642.cml_Setting_the_date_and_time_2	Setting the date and time	"Time

 1.  Settings 
2.  Time/Date 
3.  Time: 
4. Turn the controller until the desired hours are displayed.
5. Press the controller.
6. Turn the controller until the desired minutes are displayed.
7. Press the controller.The time is stored."
34073408_642.cml_Setting_the_date_and_time_3	Setting the date and time	"Time format

 1.  Settings 
2.  Time/Date 
3.  Format: 
4. Select the desired format.The time format is stored."
34073846_202.cml_The_concept_0	The concept	"The Chrono package consists of three display instruments in the cockpit, where the engine oil pressure, the turbocharger boost, and the time are displayed. In addition, intermediate and total times can be measured using the stop watch.
The display elements of the Chrono package mainly support a sporty driving style, e,g, on racetracks."
34073865_232.cml_Malfunction_0	Malfunction	"The yellow warning lamp flashes and then lights up continuously. A Check Control message is displayed. No flat tire or loss of tire pressure can be detected.
Examples and recommendations in the following situations:
- A wheel without TPM electronics is mounted: Have it checked by a dealer's service center or another qualified service center or repair shop as needed.
- A wheel without TPM electronics, for example an emergency wheel, is mounted: Have it checked by a dealer's service center or another qualified service center or repair shop as needed.
- Malfunction: Have system checked by a dealer's service center or another qualified service center or repair shop.
- TPM was unable to complete the reset. Reset the system again.
- Interference through systems or devices with the same radio frequency: After leaving the area of the interference, the system automatically becomes active again.Declaration according to NHTSA/FMVSS 138 Tire Pressure Monitoring System

 Declaration according to NHTSA/FMVSS 138 Tire Pressure Monitoring Systems"
34073922_217.cml_High-beam_Assistant_0	High-beam Assistant	"The concept

 Video: high-beam Assistant The high-beam Assistant detects other traffic participants early on and automatically switches the high beams on or off depending on the traffic situation. The assistant ensures that the high beams are switched on,  whenever the traffic situation allows. In the low speed range, the high beams are not switched on by the system."
34073922_217.cml_High-beam_Assistant_1	High-beam Assistant	"General information

 The system responds to light from oncoming traffic and traffic driving ahead of you, and to adequate illumination, e.g., in towns and cities.
The driver can intervene at any time and switch the high beams on and off as usual."
34073922_217.cml_High-beam_Assistant_2	High-beam Assistant	"Activating

 1. Depending on the equipment, turn the light switch into positionor.
2. Press button on the turn signal lever, arrow.The indicator lamp in the instrument cluster is illuminated, when the low beams are switched on.
The high beams are switched on and off automatically.
The blue indicator lamp in the instrument cluster lights up when the system switches on the high beams."
34073922_217.cml_High-beam_Assistant_3	High-beam Assistant	"Deactivating

 The High-beam Assistant is deactivated when manually switching the high beams on and off.
To reactivate the High-beam Assistant, press the button on the turn signal lever."
34073922_217.cml_High-beam_Assistant_4	High-beam Assistant	"System limits

 The High-beam Assistant cannot serve as a substitute for the driver's personal judgment of when to use the high beams. Therefore, manually switch off the high beams in situations where required to avoid a safety risk.
The system is not fully functional in the following situations, and driver intervention may be necessary:
- In very unfavorable weather conditions, such as fog or heavy precipitation.
- When detecting poorly-lit road users such as pedestrians, cyclists, horseback riders and wagons; when driving close to train or ship traffic; and at animal crossings.
- In tight curves, on hilltops or in depressions, in cross traffic or half-obscured oncoming traffic on highways.
- In poorly-lit towns and cities and in the presence of highly reflective signs.
- When the windshield behind the interior mirror is fogged over, dirty or covered with stickers, etc.
- When the windshield behind the interior mirror is fogged over, dirty or covered with stickers."
34074197_648.cml_Initializing_the_Flat_Tire_Monitor_FTM_0	Initializing the Flat Tire Monitor FTM	"The initialization is completed while driving, which can be interrupted at any time. The initialization automatically continues when driving resumes. Do not initialize the system when driving with snow chains.
On the Control Display:
1.  Vehicle info 
2.  Vehicle status 
3.  Perform reset 
4. Start the engine - do not drive off.
5. Start the initialization with  Perform reset .
6. Drive away.The initialization is completed while driving, which can be interrupted at any time. 
The initialization automatically continues when driving resumes."
