33226224_635.cml_Service_messages_0	Service messages	"Service messages."
34386931_139.cml_Safety_belts_5	Safety belts	"Unbuckling the safety belt

 1. Hold the safety belt firmly.
2. Press the red button in the belt buckle.
3. Guide the safety belt back into its roll-up mechanism."
34386931_139.cml_Safety_belts_6	Safety belts	"Safety belt reminder for driver's and passenger's seat Safety belt reminder 

 A Check Control message is displayed. Check whether the safety belt has been fastened correctly. The indicator lamp lights up and a signal sounds. Make sure that the safety belts are positioned correctly. The safety belt reminder is active at speeds above approx. 6 mph/10 km/h. It can also be activated if objects are placed on the front passenger seat. The Fasten safety belts reminder is issued when the driver's safety belt is not buckled. In some country-specific versions, the safety belt reminder is activated starting at approx. 10 km/h 10 km/h, approx. 6 mph  if the front passenger safety belt is not buckled and heavy objects are resting on the front passenger seat."
34386931_139.cml_Safety_belts_7	Safety belts	"Damage to safety belts

 Check and replace safety belts"
34386972_695.cml_Wheels_and_tires_0	Wheels and tires	"Repairing a flat tire

 Safety measures

 - Park the vehicle as far away as possible from passing traffic and on solid ground.
- Switch on the hazard warning system.
- Secure the vehicle against rolling away by setting the parking brake.
- Turn the steering wheel until the front wheels are in the straight-ahead position and engage the steering wheel lock.
- Have all vehicle occupants get out of the vehicle and ensure that they remain outside the immediate area in a safe place, such as behind a guardrail.
- If necessary, set up a warning triangle at an appropriate distance."
34386972_695.cml_Wheels_and_tires_1	Wheels and tires	"Mobility System

 The concept

 With the Mobility System, minor tire damage can be sealed temporarily to enable continued travel. To accomplish this, sealant is pumped into the tires, which seals the damage from the inside.
The compressor can be used to check the tire inflation pressure.
Information

 - Follow the instructions on using the Mobility System found on the compressor and sealant container.
- Use of the Mobility System may be ineffective if the tire puncture measures approx. 1/8 inches/4 mm or more.
- Contact a dealer's service center or another qualified service center or repair shop if the tire cannot be made drivable.
- If possible, do not remove foreign bodies that have penetrated the tire.
- Pull the speed limit sticker off the sealant container and apply it to the steering wheel.
- The use of a sealant can damage the TPM wheel electronics. In this case, have the electronics checked at the next opportunity and have them replaced if needed.Enclosed areas Storage

 The Mobility System is located under the cargo floor panel. The Mobility System is located behind the left side trim in the cargo area. The mobility system is located in the storage compartment under the hood. Sealant container

   - Sealant container, arrow 1.
- Filling hose, arrow 2.Observe use-by date on the sealant container.
Compressor

 Compressor at a glance Compressor at a glance Filling the tire with sealant

 Shake the sealant container.Take the connection hose completely out of the compressor housing. Do not kink the hose.Attach the connection hose to the connector of the sealing container, ensuring that it engages audibly.Slide the sealing container upright into the holder on the compressor housing, ensuring that it engages audibly.Screw the connection hose onto the tire valve of the nonworking wheel.With the compressor switched off, insert the plug into a power socket inside the vehicle.With the ignition turned on or the engine running, switch on the compressor. With operating readiness or drive readiness switched on, switch on the compressor. Shake the sealant container.Pull filling hose completely out of the cover of the sealant container. Do not kink the hose.Slide the sealing container into the holder on the compressor housing, ensuring that it engages audibly.Screw the filling hose of the sealant container onto the tire valve of the nonworking wheel.With the compressor switched off, insert the plug into the power socket inside the vehicle.With the ignition turned on or the engine running, switch on the compressor. With operating readiness or drive readiness switched on, switch on the compressor. Switch off the compressor after 10 minutes
Let the compressor run for approx. 3 to 8 minutes to fill the tire with sealant and achieve a tire inflation pressure of approx. 2.5 bar. Let the compressor run for max. 10 minutes to fill the tire with sealant and achieve a tire inflation pressure of approx. 2.5 bar. While the tire is being filled with sealant, the tire inflation pressure may sporadically reach approx. 5 bar. Do not switch off the compressor at this point.
If a tire inflation pressure of 2 bar is not reached:
1. Switch off the compressor.
2. Unscrew the filling hose from the wheel.
3. Drive 10 m 10 m, approx. 400 inches 33 ft/10 m  forward and back to distribute the sealant in the tire.
4. Inflate the tire again using the compressor.
If a tire inflation pressure of 2 bar cannot be reached, contact your dealer's service center or another qualified service center or repair shop.Stowing the Mobility System

 1. Remove the connection hose of the sealant container from the wheel. Unscrew the filling hose of the sealant container from the wheel.
2. Remove the connection hose from the sealant container. After pressing the red unlock button on the compressor, remove the sealing container.
3. Wrap the empty sealant container and connection hose in suitable material to avoid dirtying the cargo area. Wrap the empty sealant container in suitable material to avoid dirtying the cargo area.
4. Stow the Mobility System back in the vehicle.Distributing the sealant

 Immediately drive approx. 10 km 10 km/5 miles 5 miles/10 km  to ensure that the sealant is evenly distributed in the tire.
Do not exceed a speed of 80 km/h 80 km/h/50 mph 50 mph/80 km/h .
If possible, do not drive at speeds less than 20 km/h 20 km/h/12 mph 12 mph/20 km/h .
To correct the tire inflation pressure

 1. Stop at a suitable location.
2. Screw the connection hose onto the tire valve stem. Screw the connection hose of the compressor directly onto the tire valve stem.
3. Attach the connection hose directly to the compressor.
4. Insert the connector into the power socket inside the vehicle.
5. Correct the tire inflation pressure to 2.5 bar. Correct the tire inflation pressure to at least 2.0 bar. - Increase pressure: with the ignition turned on or the engine running, switch on the compressor.
- Increase pressure: with operating readiness or drive readiness switched on, switch on the compressor.
- To reduce the pressure: press the button on the compressor.Continuing the trip

 Do not exceed the maximum permissible speed of 80 km/h 80 km/h, approx. 50 mph 50 mph/80 km/h .
Reinitialize the Flat Tire Monitor. Reinitialize the Tire Pressure Monitor. Replace the nonworking tire and the sealant container of the Mobility System as soon as possible."
34387046_372.cml_Information_0	Information	"Observe the system limits"
34387068_90.cml_Status_field_symbols_0	Status field symbols	"The symbols are grouped as follows:
Radio symbols

 Symbol
Meaning
TP TRF Traffic bulletins are activated. HD Radio station is being received. Satellite radio is switched on. Telephone symbols

 Symbol
Meaning

Incoming or outgoing call.

Missed call.

Wireless network reception strength.
Symbol flashes: network search.

Wireless network is not available.

Bluetooth is switched on.
Data transfer is active. 
Roaming is active.

Text message was received.
Check the SIM card. SIM card is blocked. SIM card is missing. Enter PIN."
34387068_90.cml_Status_field_symbols_1	Status field symbols	"Entertainment symbols

 Symbol
Meaning
CD/DVD player. Music collection. Gracenote  database. 
AUX-IN port. AUX-IN port in the front or in the rear. USB audio interface. Mobile phone audio interface."
34387068_90.cml_Status_field_symbols_2	Status field symbols	"Additional symbols

 Symbol
Meaning
Spoken instructions are turned off. Check the current vehicle position. Electronic Toll Collect is activated. Request of the current vehicle position."
34387104_70.fml_Driver's_door_0	Driver's door	"Driver's door

 Opening and closing from the inside Exterior mirrors Power windows Driver's door

 Opening and closing from the inside Door opener Tank vent Exterior mirrors Power windows Tailgate"
34387240_317.cml_Performance_Control_0	Performance Control	"Performance Control Performance Control enhances the agility of the vehicle.
To increase maneuverability, with a correspondingly sporty driving style, wheels are braked individually. The resulting braking power is simultaneously largely compensated by an engine intervention."
34387261_107.cml_Remote_control/key_0	Remote control/key	"General information

 The vehicle is supplied with two remote controls with integrated key.
Every remote control holds a replaceable battery.
You may set the key functions depending on the optional features and country-specific version. For Settings.
The vehicle stores personal settings for every remote control. Personal Profile.
The remote controls hold information on required maintenance. Service data in the remote control"
34387261_107.cml_Remote_control/key_1	Remote control/key	"Overview

 Buttons on the remote control Integrated key

 Press button, arrow 1, and remove the key, arrow 2.
The driver's door can be unlocked and locked without remote control using the integrated key."
34387261_107.cml_Remote_control/key_2	Remote control/key	"Replacing the battery

   1. Remove integrated key from remote control.
2. Place the integrated key underneath the battery compartment cover, arrow 1, and lift the cover with a lever movement of the integrated key.
3. Remove battery compartment cover, arrow 2.
4. Insert a battery of the same type with the positive side facing up.
5. Press the cover closed.Have old batteries disposed of by a dealer's service center or another qualified service center or repair shop or take them to a collection point. include text 12"
34387261_107.cml_Remote_control/key_3	Remote control/key	"New remote controls

 New remote controls are available from a dealer's service center or another qualified service center or repair shop."
34387261_107.cml_Remote_control/key_4	Remote control/key	"Loss of the remote controls

 The lost remote control can be blocked by a dealer's service center or another qualified service center or repair shop."
34387261_107.cml_Remote_control/key_5	Remote control/key	"Emergency detection of remote control

 The concept

 The engine can be started via emergency detection of the remote control, if the remote control is not recognized by the vehicle. Drive readiness can be switched on via emergency detection of the remote control, if the remote control is not recognized by the vehicle. The engine can be started or drive readiness can be switched on via emergency detection of the remote control, if the remote control is not recognized by the vehicle. General information

 A Check Control message is displayed.
Remote control detection by the vehicle can among others be malfunctioning under the following circumstances:
- The battery of the remote control is discharged. Replace the battery.
- Interference of the radio connection from transmission towers or other equipment with high transmit power.
- Shielding of the remote control due to metal objects.
- Interference of the radio connection from mobile phones or other electronic devices in direct proximity.
- Interference of radio transmission by a charging process of a mobile device, for example charging of a mobile phone.Switching on drive readiness

 1. Hold the remote control with its back against the marked area on the steering column.
2. Switch drive readiness on within 10 seconds.If the remote control is not detected, slightly change the position of the remote control and repeat the procedure."
34387295_182.cml_Information_0	Information	"Awareness of vehicle reduced when driven in electric mode"
34387336_84.cml_The_concept_0	The concept	"The iDrive combines the functions of many switches. Thus, these functions can be operated from a central location.
Using the iDrive during a trip"
34387347_183.cml_General_information_0	General information	"In ePOWER, the vehicle is driven exclusively electrically. ePOWER works automatically.
Depending on the charging state of the high-voltage battery, maximum speed and range achieved can vary.
For electrical driving, certain Conditions must be satisfied.
Displays of the hybrid system."
34387453_276.cml_Information_0	Information	"With use of the system observe further information found under Tire inflation pressure."
34387481_393.cml_Switching_on/off_0	Switching on/off	"Switching on automatically

 With the engine running, engage lever in position P R.
The rearview camera also switches on. Switching on automatically

 PDC switches on automatically in the following situations:
- If selector lever position R is engaged when the engine is running.
The rearview camera also switches on.
- If selector lever position R is engaged while drive readiness is switched on.
The rearview camera also switches on.
- If selector lever position R is engaged while the engine is running or in electric mode.
The rearview camera also switches on.
- If equipped with front PDC: when obstacles are detected behind or in front of the vehicle by PDC and the speed is slower than approx. 4 km/h 4 km/h, approx. 2.5 mph 2.5 mph/4 km/h .You may turn off automatic activation: 1.  Settings 
2.  Parking 
3. Select setting.
Settings are stored for the profile currently used. If necessary, switch off automatic PDC activation on obstacle detection, for example in car washes, to reduce false alarms."
34387481_393.cml_Switching_on/off_1	Switching on/off	"Automatic deactivation during forward travel

 The system switches off when a certain driving distance or speed is exceeded.
Switch the system back on if needed."
34387481_393.cml_Switching_on/off_2	Switching on/off	"With front PDC: switching on/off manually

 Press park assistance button.
- On: the LED lights up.
- Off: the LED goes out.The rearview camera image is displayed when the reverse gear is engaged when pressing the park assistance button."
34387487_442.cml_Sockets_0	Sockets	"In the cargo area

 The socket is located on the right side in the cargo area. Remove the cover. The socket is located on the left side in the cargo area."
34387496_286.cml_FTM_Flat_Tire_MonitorFTM_Flat_Tire_Monitor_0	FTM Flat Tire Monitor FTM Flat Tire Monitor	"The concept

 Video: FTM Flat Tire Monitor Flat Tire Monitor FTM The system detects tire inflation pressure loss on the basis of rotation speed differences between the individual wheels while driving.
In the event of a tire inflation pressure loss, the diameter and therefore the rotational speed of the corresponding wheel changes. This will be detected and reported as a flat tire.
The system does not measure the actual inflation pressure in the tires."
34387496_286.cml_FTM_Flat_Tire_MonitorFTM_Flat_Tire_Monitor_1	FTM Flat Tire Monitor FTM Flat Tire Monitor	"Functional requirements

 The system must have been initialized when the tire inflation pressure was correct; otherwise, reliable flagging of a flat tire is not assured. Initialize the system after each correction of the tire inflation pressure and after every tire or wheel change."
34387496_286.cml_FTM_Flat_Tire_MonitorFTM_Flat_Tire_Monitor_2	FTM Flat Tire Monitor FTM Flat Tire Monitor	"Status display

 The current status of the Flat Tire Monitor can be displayed on the Control Display, for example, whether or not the FTM is active.
On the Control Display:
1.  Vehicle info 
2.  Vehicle status 
3.  Flat Tire Monitor (FTM) The status is displayed."
34387496_286.cml_FTM_Flat_Tire_MonitorFTM_Flat_Tire_Monitor_3	FTM Flat Tire Monitor FTM Flat Tire Monitor	"Initialization

 When initializing the once set inflation tire pressures serve as reference values in order to detect a flat tire. Initialization is started by confirming the tire inflation pressures.
Do not initialize the system when driving with snow chains.
On the Control Display:
1.  Vehicle info 
2.  Vehicle status 
3.  Perform reset 
4. Start the engine - do not drive off.
5. Switch on drive readiness – do not drive off.
6. Start the initialization with  Perform reset .
7. Drive away.The initialization is completed while driving, which can be interrupted at any time.
The initialization automatically continues when driving resumes."
34387496_286.cml_FTM_Flat_Tire_MonitorFTM_Flat_Tire_Monitor_4	FTM Flat Tire Monitor FTM Flat Tire Monitor	"Indication of a flat tire

 Additional information can be found in the BMW ALPINA Supplementary Owner's Manual. The yellow warning lamp lights up. A Check Control message is displayed.
There is a flat tire or a major loss in tire inflation pressure.
1. Reduce your speed and stop cautiously. Avoid sudden braking and steering maneuvers.
2. Check whether the vehicle is fitted with normal tires or run-flat tires.
Run-flat tires are labeled with a circular symbol containing the letters RSC marked on the tire's sidewall. 1. Reduce your speed and stop cautiously. Avoid sudden braking and steering maneuvers.
2. Identify the damaged wheel. Do so by checking the tire inflation pressure using the Mobility System. If the tire inflation pressure in all tires is correct, the Flat Tire Monitor may not have been initialized. In this case, initialize the system.
3. Repair the flat tire with the Mobility System, refer to the BMW ALPINA Supplementary Owner's Manual, or change the damaged wheel.
4. Repair flat tire with the Mobility System or replace the damaged wheel. Reduce your speed and stop cautiously. Avoid sudden braking and steering maneuvers. Do not continue driving, and contact the service center. Do not continue driving without run-flat tires When a flat tire is indicated, DSC Dynamic Stability Control is switched on if needed."
34387496_286.cml_FTM_Flat_Tire_MonitorFTM_Flat_Tire_Monitor_5	FTM Flat Tire Monitor FTM Flat Tire Monitor	"System limits

 A natural, even tire inflation pressure loss in all four tires will not be recognized. Therefore, check the tire inflation pressure regularly.
Sudden serious tire damage caused by external circumstances cannot be recognized in advance.
The system could be delayed or malfunction in the following situations:
- When the system has not been initialized.
- When driving on a snowy or slippery road surface.
- Sporty driving style: spinning traction wheels, high lateral acceleration (drifting).
- When driving with snow chains."
34387588_284.cml_System_limits_0	System limits	"The system does not function properly if a reset has not been carried out, for example, a flat tire is reported though tire inflation pressures are correct.
The tire inflation pressure depends on the tire's temperature. Driving or exposure to the sun will increase the tire's temperature, thus increasing the tire inflation pressure. The tire inflation pressure is reduced when the tire temperature falls again. These circumstances may cause a warning when temperatures fall very sharply.
The system cannot indicate sudden serious tire damage caused by external circumstances."
34387603_746.cml_General_information_0	General information	"include text 111
include text 113"
34387622_332.cml_ECO_PRO_0	ECO PRO	"ECO PRO provides consistent tuning to minimize fuel consumption for maximum range with maximum driving stabilization. ECO PRO provides consistent tuning to maximize range. Comfort functions and the engine Controller are adjusted.
The program can be configured to individual specifications."
34387622_332.cml_ECO_PRO_1	ECO PRO	"Activating ECO PRO

 Press button repeatedly until ECO PRO is displayed in the instrument cluster."
34387622_332.cml_ECO_PRO_2	ECO PRO	"Configuring ECO PRO

 1. Activate ECO PRO.
2.  Configure ECO PRO Make the desired settings."
34387952_53.cml_Charging_vehicle_0	Charging vehicle	"Connecting an AC charging cable

 To connect, engage lever in position P P. Set the parking brake if needed.
1. Open hood.
2. Remove charging socket lid.
3. Connect charging cable at the household socket or the connection to the AC charging station as appropriate in each case.
4. Guide the charging cable in through the opening in the body.
5. Insert the charging cable plug of the standard charging cable corresponding to the charging socket, and push it in until it latches.
6. Close the hood."
34387952_53.cml_Charging_vehicle_1	Charging vehicle	"Connection Connection of the DC charging cable 

 To connect, engage lever in position P P. Set the parking brake if needed.
1. Tap on the charging socket flap, arrow.
2. Remove the charging socket lid, arrow. Remove the charging socket lid if needed, arrow.
3. Connect standard charging cable or AC quick charging cable to the household socket or the port at the AC charging station.
4. Connect either a Level 1 or Level 2 charging cable to the household socket or the port on the charging station.
5. Remove cover of the charging cable plug if needed.
6. Insert the charging cable plug corresponding to the charging socket, and push it in until it latches.
7. Insert the charging cable plug corresponding to the charging socket, and push it in until it latches; arrow 1.
8. Follow the instructions at the charging station.When charging at a charging station, follow the instructions at the charging station."
34387952_53.cml_Charging_vehicle_2	Charging vehicle	"Removing an AC charging cable

 When charging at a charging station, complete the charging process at the charging station before removing the charging cable.
1. Unlock the vehicle by remote control.
2. Open hood.
3. Press the release button, and hold the charging cable on the gripping areas.
4. Remove standard charging cable from the charging socket.
5. Remove standard charging cable from the household socket or the connection to the AC charging station as appropriate in each case.
6. Stow the charging cable.
7. Close the hood."
34387952_53.cml_Charging_vehicle_3	Charging vehicle	"Remove Remove the DC charging cable 

 When the vehicle is locked, the charging cable is locked. Unlock the vehicle before removing the cable. During the charging process, charging cable is automatically locked. Unlock the charging cable before removing it. 1. Unlock the vehicle by remote control if it is locked.
Charging cable is unlocked.
2. Press the release button of the remote control or the door handle. Charging cable is unlocked for a brief time.
3. Press the release button on the handle, arrow 1, and grasp the charging cable at the gripping areas.
Charging process is interrupted.
4. Press the release button on the handle, arrow 1, and grasp the charging cable at the gripping areas.
Charging process is interrupted.
5. Remove the charging cable from the charging socket, arrow 2.
6. Grasp the charging cable at the gripping areas.
7. Remove the charging cable from the charging socket, arrow.
8. Put the charging socket lid back on.
9. Close the charging socket flap.
10. Attach cover of the charging cable plug if needed.
11. Disconnect the standard charging cable or AC quick charging cable from the household outlet or the port at the AC charging station as needed.
12. Disconnect either the Level 1 or Level 2 charging cable from the household socket or the port on the charging station as needed.
13. Stow the charging cable. At a charging station, insert the permanently installed charging cable in the place provided for it."
34387988_299.cml_Warning_with_braking_function_0	Warning with braking function	"Display

 If a collision with a recognized vehicle is imminent a warning symbol appears in the instrument cluster and in the Head-Up Display. If a collision with a vehicle detected in this way is imminent, a warning symbol appears on the instrument cluster. Symbol
Measure
Symbol lights up red: prewarning.
Brake and increase distance.
Symbol flashes red and an acoustic signal sounds: acute warning.
You are requested to intervene by braking or make an evasive maneuver."
34387988_299.cml_Warning_with_braking_function_1	Warning with braking function	"Prewarning

 This warning is issued, for example, when there is the impending danger of a collision or the distance to the vehicle ahead is too small.
The driver must intervene actively when there is a prewarning."
34387988_299.cml_Warning_with_braking_function_2	Warning with braking function	"Acute warning with braking function

 Acute warning in displayed in case of the imminent danger of a collision when the vehicle approaches another object at a high differential speed.
The driver must intervene actively when there is an acute warning. If necessary, the driver is assisted by a minor automatic braking intervention in a possible risk of collision.
Acute warnings can also be triggered without previous forewarning."
34387988_299.cml_Warning_with_braking_function_3	Warning with braking function	"Braking intervention

 The warning prompts the driver himself/herself to react. During a warning, the maximum braking force is used. Premise for the brake booster is sufficiently quick and hard stepping on the brake pedal. The system can assist with some braking intervention if there is risk of a collision. At low speeds vehicles may thus come to a complete stop.
The braking intervention is executed only if DSC Dynamic Stability Control is switched on and Dynamic Traction Control DTC is not activated. The braking intervention is executed only if DSC Dynamic Stability Control is switched on. The braking intervention is executed only if DSC Dynamic Stability Control is switched on and M Dynamic mode MDM is not activated. The braking intervention is executed only if vehicle stability has not been restricted, e.g. by deactivating the DSC Dynamic Stability Control. The braking intervention can be interrupted by stepping on the accelerator pedal or by actively moving the steering wheel. The braking intervention can be interrupted by stepping on the accelerator pedal or by actively moving the steering wheel. Object detection can be restricted. Limitations of the detection range and functional restrictions are to be considered."
34387995_696.cml_Tire_inflation_pressure_0	Tire inflation pressure	"Safety information

 The tire characteristics and tire inflation pressure influence the following:
- The service life of the tires.
- Road safety.
- Driving comfort."
34387995_696.cml_Tire_inflation_pressure_1	Tire inflation pressure	"Checking the tire inflation pressure

 Additional information can be found in the BMW ALPINA Supplementary Owner's Manual. Check the tire inflation pressure regularly
Also check the tire inflation pressure of the emergency wheel in the cargo area regularly, and correct it as needed. Tires have a natural, consistent loss of tire inflation pressure.
Tires heat up while driving, and the tire inflation pressure increases along with the tire's temperature. The tire inflation pressure specifications relate to cold tires or tires with the ambient temperature.
Only check the tire inflation pressure when the tires are cold. This means after driving no more than 2 km 2 km, 1.25 miles 1.25 miles/2 km  or when the vehicle has been parked for at least 2 hours.
The displays of inflation devices may under-read by up to 0.1 bar 0.1 bar/2 psi .
For Flat Tire Monitor: after correcting the tire inflation pressure, reinitialize the Flat Tire Monitor. For Tire Pressure Monitor: after correcting the tire inflation pressure, reset the Tire Pressure Monitor."
34387995_696.cml_Tire_inflation_pressure_2	Tire inflation pressure	"Tire inflation pressure specifications

 The tire inflation pressure values for tire sizes approved by the manufacturer of the vehicle for the vehicle type are on the door pillar of the driver's door. The tire inflation pressure values for tire sizes approved by the manufacturer of the vehicle for the vehicle type are on the driver's side on the rear door. If the speed letter of the tire cannot be found, the tire inflation pressure of the appropriate tire size applies. The tire inflation pressure specifications apply for tires at ambient temperature. The tire inflation pressure table contains all tire inflation pressure specifications for the specified tire sizes at the ambient temperature. The tire inflation pressure values are in the printed Owner's Manual and apply to tire sizes approved by the manufacturer of the vehicle for the vehicle type. To identify the correct tire inflation pressure, please note the following: - Tire sizes of your vehicle.
- Maximum permitted driving speed. WARNING"
34387995_696.cml_Tire_inflation_pressure_3	Tire inflation pressure	"Tire sizes

 The pressure values apply to tire sizes approved by the manufacturer of the vehicle for the vehicle type.
More information about wheels and tires can be requested from a dealer's service center or another qualified service center or repair shop. Tire inflation pressures up to 100 mph/160 km/h Tire fill pressures 

 For speeds of up to 100 mph/160 km/h and for optimum driving comfort, note the tire inflation pressure values in the printed Owner's Manual and adjust as necessary. To achieve optimum driving comfort, note the tire inflation pressure values in the printed Owner's Manual and adjust as needed.    These pressure values can also be found on the tire inflation pressure label on the driver's door pillar. These pressure values can also be found on the tire inflation pressure label on the driver's side on the rear door. Do not exceed a speed of 100 mph/160 km/h. Tire inflation pressures at max. speeds above 100 mph/160 km/h

 Speeds above 100 mph/160 km/h Tire inflation pressure values

 The tire inflation pressure values can be found in the printed Owner's Manual."
34388044_167.cml_Drive_readiness_in_detail_0	Drive readiness in detail	"The concept

 The following are the different drive readiness variants:
- Electric drive readiness, Silent Start.
The vehicle is powered by the electric motor.
- Starting the combustion engine.
The vehicle is powered by the combustion engine."
34388044_167.cml_Drive_readiness_in_detail_1	Drive readiness in detail	"Information

 Secure the vehicle against rolling
Awareness of vehicle reduced when driven in electric mode"
34388044_167.cml_Drive_readiness_in_detail_2	Drive readiness in detail	"Display on the Start/Stop button

 General information

 Drive readiness is also displayed through light indicators on the Start/Stop button.
Lighting pulses orange

 - After unlocking and opening the door.
- After switching off drive readiness.When the brake pedal is depressed, the lighting becomes more intense.
Lighting lights up steady blue

 After drive readiness is switched on, light turns blue. The vehicle is ready to drive. The READY indicator lights up in the instrument cluster. In addition, a signal sounds.
Lighting off

 Drive readiness, operating readiness and radio-ready state are turned off. The vehicle is in the switched-off state. The charging cable may be connected."
34388044_167.cml_Drive_readiness_in_detail_3	Drive readiness in detail	"Activating drive readiness

 1. Close the driver's door.
2. Depress the brake pedal.
3. Press the Start/Stop button.Drive readiness is active, electric driving, Silent Start or Start of the combustion engine."
34388044_167.cml_Drive_readiness_in_detail_4	Drive readiness in detail	"Electric drive readiness, Silent Start

 The vehicle is ready for driving without starting the combustion engine.
Silent Start is possible if the requirements for Electric driving are met.
Display

 READY indicates drive readiness."
34388044_167.cml_Drive_readiness_in_detail_5	Drive readiness in detail	"Starting the combustion engine

 Enclosed areas
Secure the vehicle against rolling
Repeated starting in quick succession
The combustion engine is started with Activate drive readiness under the following conditions:
- The temperature of the hybrid system is too high.
- The charge level or temperature of the high-voltage battery is too low."
34388044_167.cml_Drive_readiness_in_detail_6	Drive readiness in detail	"Driving away

 1. Activate drive readiness.
2. Apply the brake and engage lever in position P D, SPORT or R.
3. Release the parking brake.
4. Drive away."
34388044_167.cml_Drive_readiness_in_detail_7	Drive readiness in detail	"Deactivating drive readiness

 After parking the vehicle, you may hear noises due to operation of the hybrid system, such as for cooling of the high-voltage battery.
After stopping the vehicle:
1. Depress the brake pedal.
2. Set the parking brake.
3. Press the Start/Stop button.The READY indicator goes out and a signal sounds. In case of longer idle times, follow the instructions in the Care chapter."
34388044_167.cml_Drive_readiness_in_detail_8	Drive readiness in detail	"Before driving into a car wash

 So that the vehicle can roll into a car wash observe instructions for going into an automatic car wash."
34388058_434.cml_Stationary_climate_control_0	Stationary climate control	"The concept

 Stationary climate control cools or heats the interior prior to departure to a comfortable temperature.
The interior temperature is lowered with high cooling output. The system may heat the interior. Snow and ice can be removed more easily. The air automatically exits through the vents to the windshield, the side windows, the upper body region and into the floor area.
The stationary climate control can be switched on and off via the following systems:
- Direct operation.
- Preselected departure times.With the BMW i Remote App, the stationary climate control can be switched on. The system switches off automatically after a certain period of time. If stationary climate control is used during the charging process, less air conditioning capacity will be required while driving. This optimizes the range."
34388058_434.cml_Stationary_climate_control_1	Stationary climate control	"Functional requirements

 - When the departure time is preselected: depends on internal, external and set temperature.
- Direct operation via iDrive: any external temperature.
- High-voltage battery sufficiently charged or charging cable connected.
If the high-voltage battery is heavily discharged, it can take some time after connecting the charging cable, until the stationary climate control will be functional.
- Drive readiness is deactivated.
- Motor switched off and/or drive readiness deactivated.
- The vents are open to allow air to flow out."
34388058_434.cml_Stationary_climate_control_2	Stationary climate control	"Switching on/off directly

 On the Control Display:
1.  Settings 
2.  Climate 
3.  Activate comfort climate control "
34388058_434.cml_Stationary_climate_control_3	Stationary climate control	"Activate climate control at departure time

 The activation time is automatically determined based on the temperature. The system promptly switches on before the selected departure time.
On the Control Display:
1.  Settings 
2.  Departure time 
3.  Departure 1: 
4.  Precondition for departure time 
5. Set and activate Desired departure time.The symbol on the automatic climate control lights up when the departure time is activated. The symbol on the automatic climate control flashes when the stationary climate control has been switched on. If drive readiness is switched off, changes can be made on the Control Display. Departure time can only be changed once. Scheduled departure times are not adjusted. Settings for climate control and charging process are also applied for scheduled departure times."
34388058_434.cml_Stationary_climate_control_4	Stationary climate control	"Activating with BMW i Remote App 

 Using the BMW i Remote App, the system can be directly switched on or via a preset departure time."
34388206_341.cml_Overview_0	Overview	"Buttons on the steering wheel

 Press button
Function
Cruise control on/off, interrupting.
Store/maintain speed. Resume speed, continue cruise control.
Reduce distance. Increase distance. With Traffic Jam Assist: Adjust distance. Rocker switch:
Set speed.
With Traffic Jam Assist: Traffic Jam Assist on/off. Radar sensor

 A radar sensor is located in the front bumper for detecting vehicles on the road ahead of the vehicle.
Always keep radar sensor clean and unobstructed."
34388206_341.cml_Overview_1	Overview	"Camera

 A camera serves to detect vehicles.
The camera is installed near the interior mirror.
Keep the windshield in the area behind the interior mirror clean and clear."
34388255_802.cml_Remote_control,_auxiliary_functions_—_replacing_batteries_0	Remote control, auxiliary functions — replacing batteries	"Replace the battery if a message is displayed or if the LED either no longer lights up or flashes when the remote control is activated.
ATTENTION
The contents of rechargeable batteries can cause damage. There is a risk of damage to property. Do not use rechargeable batteries. The ingredients of rechargeable batteries can cause damage. There is risk of property damage. Do not use rechargeable batteries. 1. Use a compatible object to unclip the battery compartment, arrow 1.
2. Remove the cover of the battery compartment, arrow 2.
3. Insert batteries of the same type.
4. Press the cover closed.Have old batteries disposed of by a dealer's service center or another qualified service center or repair shop or take them to a collection point."
34388255_802.cml_Remote_control,_auxiliary_functions_—_replacing_batteries_1	Remote control, auxiliary functions — replacing batteries	"New remote control

 A new remote control can be placed into operation as a second remote control or if the original one was lost; it can be initialized by your dealer's service center or another qualified service center or repair shop if needed.
Two remote control devices can be used with the vehicle."
34388460_185.cml_Auto_eDRIVE_0	Auto eDRIVE	"General information

 With each starting operation, Auto eDRIVE is activated using the Start/Stop button.
In Auto eDRIVE, the vehicle is driven in hybrid mode corresponding to the various driving situations, i.e. the drive combines combustion engine and electric motor. The respectively most effective drive type is preferred."
34388460_185.cml_Auto_eDRIVE_1	Auto eDRIVE	"SAVE Battery, maintaining charging state 

 Should it be necessary, for example, to conserve the electrical range for a later point in time on the trip, the current charging state of the high-voltage battery can be maintained with this function.
The function is possible under the following conditions:
- The fuel fill level is sufficient.
- Engaged selector lever position D.
- Drive mode Auto eDrive.Switching on/off

 1.  Settings 
2.  Auto eDRIVE 
3.  Hold state of charge "
34388602_395.cml_System_limits_0	System limits	"Information

 Observe the system limits"
34388602_395.cml_System_limits_1	System limits	"With trailer or trailer power socket is in use

 The rear sensors cannot take useful measurements. Therefore, they are switched off.
A Check Control message is displayed."
